2019-05-09 11:18:20,996 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:18:29,389 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:20:02,722 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:20:13,939 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了电费充值
2019-05-09 11:20:15,052 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了电费信息更新
2019-05-09 11:20:16,752 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了饭卡充值
2019-05-09 11:20:17,230 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了饭卡信息刷新
2019-05-09 11:20:20,173 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:20:33,623 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看培养方案
2019-05-09 11:20:36,501 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了打开请假功能
2019-05-09 11:20:40,843 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了请假文档提交
2019-05-09 11:20:47,015 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了打开模板下载
2019-05-09 11:21:14,056 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 成功下载了模板
2019-05-09 11:21:24,514 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:24:34,680 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:24:37,058 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:24:41,721 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:24:44,302 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:24:45,910 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:26:47,721 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看通知及余额
2019-05-09 11:26:48,491 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:27:10,900 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:27:12,372 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:27:23,692 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:27:24,955 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:27:28,653 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:27:29,861 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:54:28,016 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:54:30,646 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:54:37,803 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 11:54:41,010 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看通知及余额
2019-05-09 11:54:41,800 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
